Bairro;jailso;milto;soma;MiltonHobus2004
ALTO ITOUPAVA;59;68;127;53,54
ALTO MATADOR;130;133;263;50,57
BARRA ALBERTINA;241;284;525;54,10
BARRA DA ITOUPAVA;239;361;600;60,17
BARRA DO TROMBUDO;1.052;569;1.621;35,10
BARRA TABOAO;776;867;1.643;52,77
BARRAGEM;878;644;1.522;42,31
BELA ALIANCA;800;981;1.781;55,08
BOA VISTA;1.345;1.068;2.413;44,26
BUDAG;897;807;1.704;47,36
CANTA GALO;1.358;1.399;2.757;50,74
CENTRO;2.372;3.345;5.717;58,51
FUNDO CANOAS;676;772;1.448;53,31
JARDIM ALEXANDRO;198;142;340;41,76
LARANJEIRAS;1.503;1.265;2.768;45,70
PROGRESSO;1.076;1.247;2.323;53,68
SANTA RITA;483;375;858;43,71
SANTANA;1.253;1.118;2.371;47,15
SUMARE;947;967;1.914;50,52
TABOAO;304;279;583;47,86
VALADA ITOUPAVA;147;242;389;62,21
VALADA SAO PAULO;454;394;848;46,46
